,CustomerId,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,WoE_Surname,WoE_Geography
0,15634602,619,42,2,0.0,1,1,1,101348.88,True,0.0,-1.6467574843303574
1,15647311,608,41,1,83807.86,1,0,1,112542.58,False,-2.0149030205422647,-1.6089535336404206
2,15619304,502,42,8,159660.8,3,1,0,113931.57,True,-1.0986122886681098,-1.6467574843303574
3,15701354,699,39,1,0.0,2,0,0,93826.63,False,-1.2992829841302609,-1.6467574843303574
4,15737888,850,43,2,125510.82,1,1,1,79084.1,False,-2.197224577336219,-1.6089535336404206
5,15574012,645,44,8,113755.78,2,1,0,149756.71,True,-1.845826690498331,-1.6089535336404206
6,15592531,822,50,7,0.0,2,1,1,10062.8,False,-1.0986122886681098,-1.6467574843303574
7,15656148,376,29,4,115046.74,4,1,0,119346.88,True,0.0,-0.7334776538120102
8,15792365,501,44,4,142051.07,2,0,1,74940.5,False,-0.9555114450274363,-1.6467574843303574
9,15592389,684,27,2,134603.88,1,1,1,71725.73,False,-2.890371757896165,-1.6467574843303574
10,15767821,528,31,6,102016.72,2,0,0,80181.12,False,0.0,-1.6467574843303574
11,15737173,497,24,3,0.0,2,1,0,76390.01,False,0.0,-1.6089535336404206
12,15632264,476,34,10,0.0,2,1,0,26260.98,False,0.0,-1.6467574843303574
13,15691483,549,25,5,0.0,2,0,0,190857.79,False,-1.466337068793427,-1.6467574843303574
14,15600882,635,35,7,0.0,2,1,1,65951.65,False,-2.1594842493533726,-1.6089535336404206
15,15643966,616,45,3,143129.41,2,0,1,64327.26,False,0.0,-0.7334776538120102
16,15737452,653,58,1,132602.88,1,1,0,5097.67,True,0.0,-0.7334776538120102
17,15788218,549,24,9,0.0,2,1,1,14406.41,False,-1.0986122886681098,-1.6089535336404206
18,15661507,587,45,6,0.0,1,0,0,158684.81,False,0.0,-1.6089535336404206
19,15568982,726,24,6,0.0,2,1,1,54724.03,False,-1.0986122886681098,-1.6467574843303574
20,15577657,732,41,8,0.0,2,1,1,170886.17,False,-1.3217558399823195,-1.6467574843303574
21,15597945,636,32,8,0.0,2,1,0,138555.46,False,0.0,-1.6089535336404206
22,15699309,510,38,4,0.0,1,1,0,118913.53,True,0.0,-1.6089535336404206
23,15725737,669,46,3,0.0,2,0,1,8487.75,False,0.0,-1.6467574843303574
24,15625047,846,38,5,0.0,1,1,1,187616.16,False,-1.2992829841302609,-1.6467574843303574
25,15738191,577,25,3,0.0,2,0,1,124508.29,False,-1.33500106673234,-1.6467574843303574
26,15736816,756,36,2,136815.64,1,1,1,170041.95,False,-2.9444389791664403,-0.7334776538120102
27,15700772,571,44,9,0.0,2,0,0,38433.35,False,0.0,-1.6467574843303574
28,15728693,574,43,3,141349.43,1,1,1,100187.43,False,0.0,-0.7334776538120102
29,15656300,411,29,0,59697.17,2,1,1,53483.21,False,-1.504077396776274,-1.6467574843303574
30,15589475,591,39,3,0.0,3,1,0,140469.38,True,-1.3862943611198906,-1.6089535336404206
31,15706552,533,36,7,85311.7,1,0,1,156731.91,False,0.0,-1.6467574843303574
32,15750181,553,41,9,110112.54,2,0,0,81898.81,False,-1.0986122886681098,-0.7334776538120102
33,15659428,520,42,6,0.0,2,1,1,34410.55,False,0.0,-1.6089535336404206
34,15732963,722,29,9,0.0,2,1,1,142033.07,False,0.0,-1.6089535336404206
35,15794171,475,45,0,134264.04,1,1,0,27822.99,True,-1.8718021769015916,-1.6467574843303574
36,15788448,490,31,3,145260.23,1,0,1,114066.77,False,-1.0986122886681098,-1.6089535336404206
